Project	Issue	Commit	TypeChecker	Detectable	Comment	AnnotationTime
protometa/convert-metric	1	dfb41bbfe11195ff6c249a7b4b939a1c8b30306a	TypeScript	Undetectable	EIS. The method toPrecision() returns a string representing a number in fixed-point or exponential notation, whose format is not expected by the subsequent parsing. 	219
r8k/proxy	3	8fadd582810d6fa79b4070fcf3c67673d4a10519	Flow	Undetectable	EIS. According to the bug report, the bug is a wrong computation.  But the fix also changes the check for the existence of some property. However, becaue the original code uses a try catch, it is safe.	80
rgrp/chrome-csv-viewer	2	7e07054e7e742f97bafceb195816d477af293ba3	TypeScript	Undetectable	EIS. Forgot to update the URL which links to some file.	57
richwidgets/richwidgets	81	7208d477fed63bf133f969e2b2aa4c9d51e606c7	TypeScript	Undetectable	Missing a predicate. Forgot to first check whether some predicate holds before destroying the selectable jQuery plugin. 	30
robwhitaker/Compiler	3	2546af90a9b3d2c5592a2ada06841489498ce0fa	Flow	Undetectable	EIS. Forgot to reset the value of the variable compiledStr.	9
sandeepmistry/node-core-bluetooth	1	71485dbe825b8027ebb278fa69249e146ed68746	Flow	Undetectable	EIS. Flow is able to infer that self has the type of window, but did not regard it as a type error.	338
sandeepmistry/node-core-bluetooth	1	71485dbe825b8027ebb278fa69249e146ed68746	TypeScript	Detectable	In JavaScript, self refers to the global object, window. Here we annotate the mapDelegate to accept only string or number values. The call then throws a type error.	364
seedstack/w20	20	044ac4f918618e76a8603d2710dbb7eafb22d9a3	TypeScript	Undetectable	UI error. Duplicate items in the UI.	94
sindresorhus/atom-autoprefixer	11	7377ec5c2f17abdee00def34b8c62e5552df666a	Flow	Undetectable	EIS. Wrongly implement the handling of unsaved text.	124
sindresorhus/os-locale	1	34c02ef169549743a7813421b5681161eeb0aaad	Flow	Unknown	Parsing error. TypeScript has builtin support for regular expressions: the type of regular expression literals is the global interface type 'RegExp'. But I could not find such a support for Flow. But I presume that Flow should have such support. 	375
sindresorhus/os-locale	1	34c02ef169549743a7813421b5681161eeb0aaad	TypeScript	Undetectable	Null handling. TypeScript does not support a non-nullable type annotation.	66
vmi/dropbox-js-for-chrome-extension	1	6d057d922353e21ba5fc3c6b3bb534a65499dd52	Flow	Undetectable	API change. In oauth-request.js, chrome.extension.onRequest is deprecated. If we have fully annotated libraries and environment, we might be able to detect this bug.	499
wooorm/parse-latin	5	01a117ec977b83731bdd228f97a82436705316b7	TypeScript	Undetectable	String errors. 	20
yasp-dota/yasp	862	2142d9434603e9c16e91ce184523c2884ced39a4	TypeScript	Undetectable	EIS. Wrong computation.	19
